               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.034226,            0.079445,                   0,             0.96899,             0.96954,              0.9856,             0.59522,            0.031236,            0.077825,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.033776,            0.078512,                   0,             0.96956,             0.97069,             0.98615,             0.60388,            0.030566,            0.077657,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035255,            0.080375,                   0,              0.9687,             0.97194,              0.9865,             0.60279,            0.030651,            0.077571,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.034516,            0.078224,                   0,             0.96264,              0.9724,             0.98652,             0.59639,            0.030727,            0.078223,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034178,            0.079782,                   0,             0.96424,             0.97221,             0.98624,             0.60046,            0.030701,            0.078025,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.034928,            0.080327,                   0,             0.96664,             0.97059,              0.9867,             0.60337,            0.030316,            0.077585,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.034095,            0.081439,                   0,             0.96172,             0.97373,             0.98634,              0.6015,            0.030404,            0.077639,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.033611,            0.079244,                   0,             0.96847,             0.97036,             0.98635,             0.59225,            0.030731,            0.077776,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.033234,            0.079051,                   0,             0.96943,             0.97183,               0.987,              0.6048,            0.030219,             0.07681,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033779,             0.07907,                   0,             0.96383,             0.97431,             0.98674,             0.60856,             0.03016,            0.077166,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.033339,            0.078498,                   0,             0.97138,              0.9705,             0.98761,              0.6119,            0.029884,            0.076379,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.033849,            0.082806,                   0,             0.96618,             0.97659,               0.987,             0.61055,            0.029916,            0.077227,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.032766,            0.076657,                   0,             0.97194,             0.97354,              0.9877,             0.61434,            0.029679,            0.076108,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.03292,            0.078026,                   0,             0.97115,             0.97411,             0.98765,             0.61395,            0.029716,            0.076186,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.032151,             0.07913,                   0,             0.97421,             0.96745,              0.9878,             0.61554,            0.029535,            0.076029,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.032864,            0.079772,                   0,             0.96848,             0.97507,             0.98802,             0.61565,            0.029552,            0.076274,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032826,            0.077623,                   0,             0.96793,             0.97259,              0.9879,             0.60332,            0.030036,            0.076977,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03256,            0.079443,                   0,             0.96672,             0.97312,             0.98727,             0.61035,            0.029987,            0.076576,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.032804,            0.077929,                   0,             0.97514,             0.97164,             0.98808,             0.61669,            0.029583,             0.07586,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.032568,            0.076642,                   0,             0.97175,             0.97534,             0.98833,             0.61782,            0.029396,            0.075716,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031567,            0.075171,                   0,             0.97337,             0.97382,             0.98817,             0.61354,            0.029613,            0.075615,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.031698,            0.077234,                   0,             0.97294,             0.97373,             0.98769,              0.6211,            0.029217,            0.075521,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.031803,            0.078864,                   0,             0.97268,             0.97565,              0.9878,             0.62274,            0.029102,            0.075264,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.03144,            0.076838,                   0,             0.97177,             0.97613,             0.98853,             0.61967,            0.029522,            0.075419,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.031858,            0.077598,                   0,             0.97187,             0.97972,             0.98892,             0.61526,            0.029422,            0.075388,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.031502,             0.08045,                   0,             0.97417,             0.97621,             0.98865,             0.62663,            0.028948,            0.074704,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.031541,            0.072248,                   0,             0.97436,             0.97411,             0.98869,             0.62723,            0.028861,            0.074652,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.031818,            0.079515,                   0,             0.97673,             0.97221,              0.9884,             0.62451,             0.02895,            0.075127,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.031788,            0.075025,                   0,             0.97518,             0.97354,             0.98859,             0.62274,             0.02918,            0.075282,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.031811,            0.077939,                   0,             0.97396,             0.97411,             0.98843,             0.62567,            0.028879,            0.075093,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031771,            0.074635,                   0,             0.97428,              0.9732,             0.98842,              0.6281,            0.028781,            0.074668,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.031192,            0.076376,                   0,              0.9703,             0.97623,              0.9883,             0.62209,            0.029159,            0.074996,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.031101,            0.077408,                   0,             0.97324,             0.97597,             0.98863,             0.62332,            0.028951,            0.074826,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.031495,            0.074633,                   0,             0.97213,             0.97588,              0.9889,             0.62416,            0.028967,             0.07489,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.031163,            0.078745,                   0,             0.97323,             0.97659,             0.98884,             0.62967,            0.028581,            0.074339,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.031035,            0.074945,                   0,             0.97204,             0.97716,             0.98896,             0.62941,            0.028789,            0.074362,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.031285,             0.07572,                   0,             0.97051,             0.97697,             0.98849,              0.6242,            0.028947,            0.074613,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.031179,            0.076662,                   0,             0.97241,             0.97944,             0.98897,             0.63228,            0.028602,            0.074235,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.030792,             0.07538,                   0,             0.97462,             0.97944,             0.98893,             0.63394,            0.028384,            0.074103,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030562,            0.073794,                   0,             0.97473,             0.97647,             0.98868,             0.62342,            0.028979,            0.074343,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.030888,            0.074078,                   0,             0.97507,             0.97545,             0.98913,              0.6311,            0.028451,            0.073897,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03082,            0.075105,                   0,             0.97358,             0.98078,             0.98938,             0.62903,            0.028708,            0.074185,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030929,            0.074491,                   0,             0.97317,             0.98019,             0.98936,             0.63505,            0.028336,            0.073865,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.030825,             0.07361,                   0,             0.97416,             0.97887,             0.98926,              0.6326,            0.028464,            0.073768,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.030514,            0.078406,                   0,             0.97425,             0.97906,             0.98949,             0.63561,             0.02838,            0.073552,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.030527,            0.074344,                   0,              0.9757,              0.9783,             0.98965,              0.6342,            0.028426,            0.073462,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030593,            0.074183,                   0,             0.97217,             0.98078,             0.98951,             0.63563,            0.028384,            0.073548,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.030934,            0.080573,                   0,             0.97279,             0.97979,             0.98949,             0.63579,            0.028332,            0.073508,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.030699,            0.081415,                   0,             0.97309,             0.97944,             0.98941,             0.63631,            0.028287,             0.07332,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.030377,            0.076597,                   0,             0.97351,             0.97912,              0.9894,             0.63587,            0.028334,            0.073409,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.031126,             0.07476,                   0,              0.9739,             0.98011,             0.98948,             0.63006,             0.02853,            0.073729,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.030995,             0.07939,                   0,             0.97282,             0.98002,             0.98907,             0.63454,            0.028438,            0.073519,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.030256,            0.074937,                   0,             0.97353,             0.98008,              0.9892,             0.63945,            0.028108,            0.073286,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030152,            0.074366,                   0,             0.97447,             0.98094,             0.98948,             0.63925,            0.028047,            0.073214,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.030036,            0.073195,                   0,             0.97552,             0.97846,             0.98953,              0.6407,            0.027895,            0.072997,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.030166,             0.07476,                   0,             0.97481,             0.98135,             0.98974,              0.6413,            0.027928,            0.073008,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.030669,            0.071995,                   0,             0.97443,             0.97902,             0.98978,             0.64178,            0.027878,            0.073002,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.030442,            0.077887,                   0,             0.97497,             0.97844,             0.98978,              0.6426,            0.027845,            0.072952,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.03047,            0.074167,                   0,             0.97597,             0.97963,                0.99,             0.64183,            0.027901,            0.072941,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.030132,            0.073226,                   0,             0.97658,             0.97963,             0.98978,             0.64242,            0.027818,            0.072828,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.030409,            0.075735,                   0,              0.9759,             0.97883,             0.98965,              0.6437,            0.027774,            0.072793,                   0,            0.000298,            0.000298,            0.000298
